,label,processed_study,processed_condition
79,0,liposom doxorubicin liposomal doxorubicin,lymphom diagnos biolog therapy lymphoma diagnosis biologic therapy
80,0,antioxid antioxidants,prost cant diagnos psorias prostate cancer diagnosis psoriasis
81,1,pemetrex pemetrexed,head neck neoplasm diagnos pres clin sign phys exam third spac fluid collect exampl ascit ple effus control drain proc pri study entry head neck neoplasms diagnosis presence clinically significant physical exam third space fluid collections example ascites pleural effusions control drainage procedures prior study entry
82,1,pemetrex pemetrexed,cant diagnos known immedy delay hypersensit react idiosyncrasy drug chem rel pazopanib erlotinib pemetrex cancer diagnosis know immediate delay hypersensitivity reaction idiosyncrasy drug chemically relate pazopanib erlotinib pemetrexed
83,0,paclitaxel paclitaxel,pancr cant diagnos hemoglobin greater_than doc dl pancreatic cancer diagnosis hemoglobin greater_than doc dl
84,0,immunoglobulin immunoglobulins,recur mantl cel lymphom diagnos may tre first cr recurrent mantle cell lymphoma diagnosis may treat first cr
85,0,nitroarginin nitroarginine,unspec adult solid tum protocol spec diagnos post rady bowel symptom grad follow radiotherapy within abdom pelv unspecified adult solid tumor protocol specific diagnosis post radiation bowel symptoms grade follow radiotherapy within abdomen pelvis
86,1,rituximab rituximab,stag ii adult lymphoblast lymphom diagnos known hypersensit rituximab stage iii adult lymphoblastic lymphoma diagnosis know hypersensitivity rituximab
87,0,cytarabin cytarabine,recur child hodgkin lymphom diagnos fish transloc fourteen recurrent childhood hodgkin lymphoma diagnosis fish translocation fourteen
88,0,antibody antibodies,stag ii esoph cant diagnos pri step on reg within fiftysix day pri step two reg stage iiia esophageal cancer diagnosis prior step one registration within fiftysix days prior step two registration
89,0,irinotec irinotecan,colorect cant diagnos clin sign periph vascul diseas phas ii colorectal cancer diagnosis clinically significant peripheral vascular disease phase ii
90,0,alvocidib alvocidib,stag iv extragonad seminom diagnos progress diseas pri cisplatin bas therapy meet on follow criter stage iv extragonadal seminoma diagnosis progressive disease prior cisplatin base therapy meet one follow criteria
91,1,vitamin vitamins,hepatocellul carcinom diagnos wom pregn lact hepatocellular carcinoma diagnosis women pregnancy lactation
92,0,etoposid phosph etoposide phosphate,stag grad two follicul lymphom diagnos ser creatinin less_than doc mg dl stage grade two follicular lymphoma diagnosis serum creatinine less_than doc mg dl
93,1,electron brachytherapy sev gy electronic brachytherapy seven gy,carcinom bas cel diagnos col vascul diseas lup scleroderma rheumatoid arthrit carcinoma basal cell diagnosis collagen vascular disease lupus scleroderma rheumatoid arthritis
94,0,mitog mitogens,colorect cant diagnos platelet greater_than on hundr on hundr nin l colorectal cancer diagnosis platelets greater_than one hundred one hundred nine l
95,0,calc diet calcium dietary,diffus adenocarcinom stomach diagnos paty must known immedy delay hypersensit react drug chem rel fluorouracil platin excipy known hist dihydropyrimidine_dehydrogenas dpd deficy diffuse adenocarcinoma stomach diagnosis patients must know immediate delay hypersensitivity reaction drug chemically relate fluorouracil platins excipients know history dihydropyrimidine_dehydrogenase dpd deficiency
96,1,dexamethason dexamethasone,stag multipl myelom diagnos cum dos doxorubicin four hundr mg two gre level would excess cur study stage multiple myeloma diagnosis cumulative dose doxorubicin four hundred mg two greater level would exceed current study
97,1,paclitaxel paclitaxel,breast cant diagnos sery cardiac il med condit includ confin breast cancer diagnosis serious cardiac illness medical condition include confine
98,0,stereotact radiosurgery stereotactic radiosurgery,stag iv vagin cant diagnos meas diseas accord rec criter stage iva vaginal cancer diagnosis measurable disease accord recist criteria
99,0,immunoglobulin immunoglobulins,squam cel lung cant diagnos stag iiib malign ple effus stag iv diseas squamous cell lung cancer diagnosis stage iiib malignant pleural effusion stage iv disease
100,1,exemest exemestane,pri tamox part breast cant prev study prior tamoxifen part breast cancer prevention study
101,1,fludarabin fludarabine,paty chronic lymphocys leukem cll smal lymphocys lymphom wel differenty lymphocys lymphom patients chronic lymphocytic leukemia cll small lymphocytic lymphoma well differentiate lymphocytic lymphoma
102,0,cyclophosphamid cyclophosphamide,non smal cel lung cant diagnos particip must complet prim thorac chemoradiotherapy least four week lat twelv week pri random non small cell lung cancer diagnosis participant must complete primary thoracic chemoradiotherapy least four weeks later twelve weeks prior randomization
103,0,paclitaxel paclitaxel,lung cant diagnos chemotherapy lung cancer diagnosis chemotherapy
104,1,albuminbound paclitaxel albuminbound paclitaxel,recur carcinom head neck reg recurrent carcinoma head neck region
105,0,doxorubicin doxorubicin,recur ov cant diagnos stabl cardiopulmon standpoint continu prolong surgery anesthes recurrent ovarian cancer diagnosis stable cardiopulmonary standpoint continue prolong surgery anesthesia
106,0,lab biomark analys laboratory biomarker analysis,colorect cant diagnos pri concur therapy colorectal cancer diagnosis prior concurrent therapy
107,1,lab biomark analys laboratory biomarker analysis,smal intestin lymphom diagnos anticoag warfarin equ vitamin antagon within twentyeight day pri start ibrutinib throughout study small intestinal lymphoma diagnosis anticoagulation warfarin equivalent vitamin antagonists within twentyeight days prior start ibrutinib throughout study
108,1,enalapril enalapril,lung cant diagnos subject elig surg resect nee rady therapy elig study lung cancer diagnosis subject eligible surgical resection need radiation therapy eligible study
109,1,cetuximab cetuximab,metast head neck cant diagnos paty receiv investig drug within fourteen day pri start cabazitaxel metastatic head neck cancer diagnosis patients receive investigational drug within fourteen days prior start cabazitaxel
110,0,lab biomark analys laboratory biomarker analysis,recur adult lymphoblast lymphom diagnos platelet greater_than equal_than on hundr zero ul recurrent adult lymphoblastic lymphoma diagnosis platelets greater_than equal_than one hundred zero ul
111,1,paclitaxel paclitaxel,ov cant diagnos ongo sery infect ovarian cancer diagnosis ongoing serious infection
112,1,everolim everolimus,unspec adult solid tum protocol spec diagnos uncontrol diabet defin fast ser glucos greater_than doc uln unspecified adult solid tumor protocol specific diagnosis uncontrolled diabetes define fast serum glucose greater_than doc uln
113,0,genet engin lymphocyt therapy genetically engineer lymphocyte therapy,recur adult diffus larg cel lymphom diagnos fem study particip reproduc pot must neg ser urin pregn test perform within fortyeight hour infus recurrent adult diffuse large cell lymphoma diagnosis female study participants reproductive potential must negative serum urine pregnancy test perform within fortyeight hours infusion
114,1,bortezomib bortezomib,multipl myelom diagnos sev hypercalcem ser calc equal_than twelv mg dl doc mmol correct albumin multiple myeloma diagnosis severe hypercalcemia serum calcium equal_than twelve mg dl doc mmol correct albumin
115,0,leucovorin leucovorin,gast cant diagnos form independ cel consid linit gastric cancer diagnosis form independent cells consider linitis
116,1,carboplatin carboplatin,non smal cel lung cant diagnos particip particip study investig compound dev within thirty day fiv half liv start tre non small cell lung cancer diagnosis participate participate study investigational compound device within thirty days five half live start treatment
117,1,cd34tk75 transduc don lymphocyt cd34tk75 transduce donor lymphocytes,multipl myelom diagnos cult pcr blood cmv must neg enrol multiple myeloma diagnosis culture pcr blood cmv must negative enrollment
118,1,bortezomib bortezomib,relaps refract multipl myelom diagnos class two defin cardiac diseas paty comfort rest ordin phys act result fatigu palpit dyspne angin pain relapse refractory multiple myeloma diagnosis class two define cardiac disease patients comfortable rest ordinary physical activity result fatigue palpitations dyspnea anginal pain
119,0,vaccin vaccines,mesoltheliom diagnos seroneg hiv antibody mesolthelioma diagnosis seronegative hiv antibody
120,1,prednisolon phosph prednisolone phosphate,prim cent nerv system cns lymphom second cns involv lymphom mantl cel lymphom mcl histolog evid transform burkit lymphom prim mediastin dlbcl prim effus lymphom plasmablast lymphom prim cut dlbcl primary central nervous system cns lymphoma secondary cns involvement lymphoma mantle cell lymphoma mcl histologic evidence transformation burkitt lymphoma primary mediastinal dlbcl primary effusion lymphoma plasmablastic lymphoma primary cutaneous dlbcl
121,1,mri guid needl del hdr brachytherapy mri guide needle deliver hdr brachytherapy,paty prost cant diagnos contraind conscious_sedation loc anesthes spin epid anesthes patients prostate cancer diagnosis contraindications conscious_sedation local anesthesia spinal epidural anesthesia
122,0,lamivudin lamivudine,kapos sarcom diagnos histolog prov kaposi sarcoma diagnosis histologically prove
123,1,lenograstim lenograstim,stag ii adult diffus mix cel lymphom diagnos pregn stage iii adult diffuse mix cell lymphoma diagnosis pregnancy
124,1,bily drain biliary drainage,ampull vat cant diagnos prevy chemotherapy radiotherapy ampulla vater cancer diagnosis previous chemotherapy radiotherapy
125,1,tacrolim tacrolimus,recur adult cel leukem lymphom diagnos ser glutam oxaloacet transaminas sgot ser glutam pyruv transaminas sgpt greater_than equal_than three up limit norm recurrent adult cell leukemia lymphoma diagnosis serum glutamic oxaloacetic transaminase sgot serum glutamic pyruvate transaminase sgpt greater_than equal_than three upper limit normal
126,1,precid cel immunotherapy precision cell immunotherapy,adv gast cant diagnos sery diseas advance gastric cancer diagnosis serious diseases
127,1,oxaliplatin oxaliplatin,paty past cur hist within last two year malign exceiv ind study cur tre bas squam skin cant situ cant cervix patients past current history within last two years malignancies except indication study curatively treat basal squamous skin cancer situ cancer cervix
128,0,cybercyc cybercycling,histolog confirm cant histologically confirm cancer
129,1,camptothecin camptothecin,colon cant high risk stag ii ptfournone pton four ntwo diagnos ed geograph sociolog psycholog leg condit would permit paty complet study sign inform cons colon cancer high risk stage iii ptfournone ptone four ntwo diagnosis edical geographical sociological psychological legal condition would permit patient complete study sign inform consent
130,0,sorafenib sorafenib,solid tum diagnos particip men wom childbear pot must agr us adequ contraceiv begin sign icf least thirty day last dos study drug solid tumor diagnosis participants men women childbearing potential must agree use adequate contraception begin sign icf least thirty days last dose study drug
131,0,poly adpribos polymeras inhibit poly adpribose polymerase inhibitors,wom becom pregn suspect pregn partn particip study inform tre phys immedy woman become pregnant suspect pregnant partner participate study inform treat physician immediately
132,1,paclitaxel paclitaxel,resect pancr cant diagnos hist uncontrol seiz cent nerv system disord psychy dis judg investig clin sign preclud inform cons interf comply or drug intak resectable pancreatic cancer diagnosis history uncontrolled seizures central nervous system disorder psychiatric disability judge investigator clinically significant preclude inform consent interfere compliance oral drug intake
133,1,antibody antibodies,recur adult diffus larg cel lymphom diagnos un perform self car rady isol recurrent adult diffuse large cell lymphoma diagnosis unable perform self care radiation isolation
134,0,entinost entinostat,multipl myelom plasm cel neoplasm diagnos concur immunotherapy multiple myeloma plasma cell neoplasm diagnosis concurrent immunotherapy
135,1,mycophenol acid mycophenolic acid,adult nas typ extranod nk cel lymphom diagnos don adult nasal type extranodal nk cell lymphoma diagnosis donor
136,1,antibody monoclon antibodies monoclonal,smal lymphocys lymphom diagnos requir anticoag warfarin small lymphocytic lymphoma diagnosis require anticoagulation warfarin
137,1,cetuximab cetuximab,squam cel carcinom head neck diagnos prevy tre monoclon antibody therapy signal_transduction inhibit epiderm grow fact receiv egfr target therapy squamous cell carcinoma head neck diagnosis previous treatment monoclonal antibody therapy signal_transduction inhibitors epidermal growth factor receptor egfr target therapy
138,1,carmustin carmustine,recur grad three follicul lymphom diagnos act bact vir fung infect recurrent grade three follicular lymphoma diagnosis active bacterial viral fungal infection
139,1,digoxin digoxin,class kapos sarcom diagnos eastern coop oncolog group ecog perform stat greater_than on classic kaposi sarcoma diagnosis eastern cooperative oncology group ecog performance status greater_than one
140,0,bb one thousand one hundred and on bb one thousand one hundred and one,stag iv squam cel carcinom nasopharynx diagnos predict lif expect greater_than twelv week stage iv squamous cell carcinoma nasopharynx diagnosis predict life expectancy greater_than twelve weeks
